,subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg..m.,dist_to_stream_stdev..m.,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr06h,orb100yr12h,orb100yr24h,orb25yr06h,orb25yr12h,orb25yr24h,orb2yr06h,orb2yr12h,orb2yr24h,orb50yr06h,orb50yr12h,orb50yr24h,orb100yr06ha_am,orb100yr12ha_am,orb100yr24ha_am,orb25yr06ha_am,orb25yr12ha_am,orb25yr24ha_am,orb2yr06ha_am,orb2yr12ha_am,orb2yr24ha_am,orb50yr06ha_am,orb50yr12ha_am,orb50yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
0,51202081102,57.07587692,42.31078970000001,0.400645431,64.0,3.576001167,2.91067274,2.928788274,1.119474335,0.148434264,0.021988043999999998,0.07164635700000001,3.006035485,6,0.0,0,3.0757464519999997,1,4,101.1758954,1.927195073,16069,281.5375053,55486.666670000006,18.396563600000004,931,43.23333333,359.1385474,312.0035901,0.624532099,0.09266862599999999,0.023420912999999998,14.91893804,16.03648846,0.8641734120000001,5088,5830,6910,3965,4601,5477,2275,2694,3224,4510,5201,6179,5067,5806,6882,3949,4582,5455,2094,2480,2968,4491,5180,6154,10763.6559,8.755916079
1,51202080201,83.36271224,59.14445638,0.299470199,103.0,5.056457996000001,2.505819994,4.111413024,1.536132546,0.075323051,0.041104309,0.158221652,0.6979303459999999,0,0.0,0,0.320525971,0,9,88.82762606,0.0,16098,193.1079204,58111.0,4.174528283,1673,41.36666667,291.8890818,205.99452119999998,0.067277874,0.0063000040000000005,0.0,43.74544619,19.30066456,0.143913478,5151,5818,6802,3932,4521,5335,2182,2588,3097,4515,5148,6050,5130,5794,6774,3916,4502,5313,2009,2383,2851,4496,5127,6025,3212.713978,1180.826665
2,51201110302,71.91110591,43.130187299999996,0.485783929,53.0,2.0962364669999998,4.160914875,2.299663077,1.186615308,0.24075853600000002,0.012737583,0.062890611,4.03492554,1,0.0,0,1.233707409,0,2,99.01391279,13.54454344,7525,104.6430854,56771.333329999994,7.314586437999999,-431,41.46666667,374.0861307,247.47088709999997,1.418911997,0.057047302,0.006655957,11.09233774,35.94381924,1.188921332,5182,5880,6891,3959,4548,5334,2228,2618,3074,4543,5191,6086,5161,5856,6863,3943,4529,5312,2051,2410,2830,4524,5170,6061,25613.87048,2713.36358
3,51201060507,42.80049447,40.82692677,0.322674964,35.0,1.100222468,4.623489064,1.596649605,0.728583357,0.499448695,0.007570041,0.025500417999999997,2.977041235,0,0.0,0,0.19490897100000001,0,4,70.69488742,7.409274247999999,13768,321.67852660000005,48506.75,8.037290322,-243,41.675,870.3013091,593.0193059,0.702918133,0.11872694800000001,0.041892259,1.327510542,36.94180169,1.0806696409999998,4822,5480,6211,3730,4251,4875,2107,2427,2816,4261,4850,5527,4802,5458,6186,3715,4233,4855,1940,2234,2592,4243,4830,5504,27111.136389999996,28374.90335
4,71200010303,68.06306671,51.20547521,0.32620346899999997,15.0,0.638812363,5.454146111,1.706805556,0.5751723910000001,0.437060968,0.002750201,0.008627586,4.357637174,25,0.085572861,10,0.269729223,0,4,132.6694882,25.42656124,24923,366.1750962,61766.2,28.47359212,38,42.0,682.3337173,572.0199395,3.3080972930000003,1.162700147,0.942745092,5.155388565,42.94072388,4.353973389,4746,5399,5999,3652,4159,4712,2035,2335,2724,4179,4757,5340,4727,5377,5975,3637,4142,4693,1873,2150,2508,4162,4737,5318,33976.722030000004,43.01823743
5,50800030717,81.07175162,51.84162562,0.379072429,76.0,1.701046109,2.9959068560000004,3.3912634610000003,1.273544821,0.110710053,0.025367945,0.096789406,18.41188607,10,0.271153677,96,14.71437056,0,4,124.8142196,0.464634127,20757,256.03246,55698.4,18.76115872,-833,40.66,333.0775374,189.0824155,1.633004058,0.653082707,0.170552095,34.69615086,13.85721843,1.650411844,4209,4851,5699,3436,3999,4671,2102,2489,2891,3823,4430,5185,4192,4831,5676,3422,3983,4652,1935,2291,2662,3807,4412,5164,63568.61142000001,9695.319736
6,41000030604,49.19742849,49.855776,0.248726069,8.964989059,0.0,9.675333157999999,0.8180132390000001,0.757944814,1.902783836,0.000926582,0.006794967,6.402539741,188,0.0,0,0.598761588,0,10,185.4851868,17.82199925,35141,714.2853006,56169.14286,59.75922096,558,40.47142857,495.9172954,382.2424921,5.540363717999999,1.905686038,0.803067757,3.330384762,25.18610493,8.485956192,4361,5014,5648,3366,3871,4436,1891,2192,2567,3846,4420,5025,4343,4993,5625,3352,3855,4418,1741,2018,2363,3830,4402,5004,33545.06065,6601.6441270000005
7,51401010601,50.85881038,30.90638943,0.669082262,117.0,4.51566124,3.3179705860000004,2.425300891,0.831630839,0.21646060399999997,0.035262519,0.097300808,1.846655615,7,0.0,0,0.24720932899999998,0,6,52.00985381,2.046147383,10155,199.67041940000001,55482.0,6.685174062000001,710,42.3,371.1257742,275.53304710000003,0.08802424199999999,0.009576564000000001,0.0009,16.94002206,20.79051595,0.232021511,4894,5672,6828,3800,4448,5341,2191,2603,3115,4329,5041,6063,4874,5649,6800,3784,4430,5319,2017,2396,2868,4311,5020,6038,36266.89568,9319.725923
8,51401040403,119.02287679999999,63.35397721,0.37264263200000003,97.0,4.683288097,7.044130297000001,1.747603477,0.7269479659999999,0.416892727,0.01377033,0.070513953,5.836815746,132,0.0,0,0.42747981,3,15,258.8939609,27.25165992,38569,324.0469483,59600.333329999994,26.28906378,734,39.48333333,614.1913261,594.3874007999999,1.869293853,1.112965148,0.299670005,46.26315911,18.90852891,1.6635485890000001,4937,5725,6881,3863,4514,5401,2250,2659,3158,4385,5102,6123,4917,5702,6853,3847,4495,5379,2071,2448,2907,4367,5081,6098,89210.22239,168395.8193
9,51202050503,78.62559571,77.09470376,0.166235864,64.0,0.944563687,6.999176405,1.429519534,0.854716211,0.623060085,0.009143933,0.054701837999999996,15.68637925,60,0.0,0,0.271067871,0,21,188.48510259999998,17.50961637,26387,335.60318060000003,55475.5,47.63079969,-499,38.55,625.5243955,393.18630989999997,3.1378980939999996,1.619869617,0.511839058,3.712749027,62.13573457,3.580202818,4637,5264,5847,3594,4163,4741,2039,2442,2890,4101,4703,5290,4618,5242,5823,3579,4146,4722,1877,2248,2661,4084,4684,5268,37152.947980000004,34186.45126
10,51202030203,57.83317462,40.46140893,0.443920186,62.0,4.67167902,2.020404376,4.247225063999999,1.895780715,0.070582911,0.030686926,0.117538404,5.937188817999999,37,0.0,0,0.214669146,1,12,68.52267931,1.1210771609999999,19086,330.01819680000006,55383.0,4.063411728,-52,34.4,169.583461,113.248015,0.155744614,0.0018,0.0,31.56221344,18.21041126,0.25783512,5400,6050,6836,4077,4658,5340,2231,2644,3100,4707,5326,6067,5378,6025,6808,4060,4639,5318,2054,2434,2854,4688,5304,6042,24349.345390000002,3603.5747439999996
11,40500011709,47.54468401,37.16732248,0.432503153,14.0,0.508181393,2.570001248,3.0274202239999997,1.19114437,0.138919977,0.0054474680000000004,0.016676021,2.746778073,11,0.0,0,2.430332209,0,7,79.56602416,10.67837869,21269,447.347594,64997.5,21.57969963,-820,43.5,675.6887588999999,467.6841957,1.75111104,0.457707046,0.26743082,2.196474446,31.66210497,2.6349008080000003,4574,5206,5741,3533,4023,4526,1979,2267,2626,4036,4595,5117,4555,5185,5718,3518,4006,4507,1822,2087,2418,4019,4576,5096,45916.898389999995,2453.404978
