,subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg..m.,dist_to_stream_stdev..m.,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr06h,orb100yr12h,orb100yr24h,orb25yr06h,orb25yr12h,orb25yr24h,orb2yr06h,orb2yr12h,orb2yr24h,orb50yr06h,orb50yr12h,orb50yr24h,orb100yr06ha_am,orb100yr12ha_am,orb100yr24ha_am,orb25yr06ha_am,orb25yr12ha_am,orb25yr24ha_am,orb2yr06ha_am,orb2yr12ha_am,orb2yr24ha_am,orb50yr06ha_am,orb50yr12ha_am,orb50yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
0,51202081102,0.24335835955940271,0.0948645801728577,0.5747921227064692,0.378698224852071,0.28848848524321774,0.11068508359415768,0.20955090533988494,0.39289152991910126,0.009511025778563432,0.09803613128923562,0.28730106161756624,0.04273211314514475,0.0016185594820609657,0.0,0.0,0.14389249732084095,0.05555555555555555,0.07017543859649122,0.07857135469076836,0.010036921095086805,0.07584991353065657,0.09289756191698106,0.27571243485093194,0.03670601417468176,0.2929555204335064,0.7135662573924867,0.053016010977832755,0.0905395262459932,0.01843906312038944,0.00392661715167582,0.0007264712843307364,0.1560082352094066,0.14240665910338896,0.01581749864252259,0.9728527211761673,0.9651240778001342,0.9569868130624257,0.9875530410183875,0.9878882197712971,0.9804865686771415,0.9928814107749555,0.991640625,0.9912293853073463,0.9811997024413337,0.9770521308735617,0.969555315833633,0.9729415563448498,0.9651908396946565,0.9570813017348907,0.9876088649720315,0.9879395623009689,0.9805837563451778,0.9933464760965993,0.992129114326602,0.9917399617590822,0.9812419584208031,0.9771469035663707,0.9696260279728675,0.07364334487657145,5.199604191717603e-05
1,51202080201,0.4151287477126266,0.17895034347225888,0.4145290713467229,0.6094674556213018,0.40792210064790413,0.0913133067657013,0.3035809996719546,0.5413984612106633,0.0045705367789675875,0.18326811760415387,0.6344669916780992,0.009921386045348703,0.0,0.0,0.0,0.01499515097981732,0.0,0.15789473684210525,0.0689819139816498,0.0,0.07601014426291101,0.06045934499098893,0.30702685075707553,0.008329288972664866,0.3348385640099345,0.6518728361518534,0.042770713706534014,0.059777024850068215,0.001986352610663183,0.00026694799340206337,0.0,0.45744877016393587,0.17139308055628907,0.0020603909535434855,0.9769151405726078,0.9643924150966404,0.950874412813402,0.9852192362093352,0.9824751336355639,0.9714901165737456,0.9853583562530335,0.983359375,0.9817091454272863,0.9815378372895112,0.9736453043645946,0.9618242838307564,0.9770100096867937,0.9644580152671755,0.9509581585213743,0.9852722509381859,0.9825191408632021,0.9715736040609138,0.9863643831115492,0.9844172364445858,0.9827915869980879,0.9815805512290918,0.9737350328312091,0.9618824659343298,0.02198091481832263,0.007012208912956071
2,51201110302,0.340298634451126,0.09895754898063122,0.7096527522098011,0.3136094674556213,0.16911070629872207,0.17050785090904913,0.15952937347139334,0.4168221752320281,0.015749836919772296,0.056791925616282005,0.2521906215842543,0.05735823664354191,0.0002697599136768276,0.0,0.0,0.05771647397294442,0.0,0.03508771929824561,0.07689239843528872,0.070540608826191,0.028642624689898283,0.028008197433333694,0.2910415036213217,0.014594536203226718,0.21607586362610068,0.6551778408729768,0.05529323999414781,0.07181294571170918,0.04189281530421518,0.00241724652839927,0.00020645487348166808,0.11599324499668594,0.3191870356251616,0.02202024836705741,0.9789141088470468,0.9681726723980245,0.9559114833889863,0.9871287128712871,0.984302050206374,0.9714267612772428,0.9890794369843068,0.9857031250000001,0.9799850074962518,0.983431392439305,0.9764093334190396,0.9639817811338847,0.9790119470455279,0.9682442748091602,0.9560040820954757,0.9871840260567869,0.9843485330984485,0.9715101522842641,0.9898143584688681,0.9865638416282397,0.9811854684512428,0.9834766709555088,0.9765031543710572,0.9640434599915961,0.17524632103693252,0.016113010354289716
3,51201060507,0.15007638192223233,0.08745254395563967,0.4512857594360158,0.20710059171597633,0.08875878345703979,0.19264153789634753,0.10363300982022183,0.2535686554868066,0.033230820101424606,0.03375186684822427,0.10225638078278976,0.04231994716182849,0.0,0.0,0.0,0.009118416951822713,0.0,0.07017543859649122,0.05490035993593744,0.03858784304760134,0.06313643370591583,0.107622307691065,0.19242575358372965,0.016036521760257685,0.22668773989613908,0.6620632672651497,0.1308904505872761,0.17208676026357592,0.020753379759994205,0.005030777842577739,0.0012994166025571186,0.013881857832241712,0.3280492841718309,0.019952619584305914,0.9557002837245294,0.9437839156149015,0.9174260003395778,0.9709335219236208,0.9642059679274646,0.9423466801824634,0.9792913767998705,0.97078125,0.9606446776611693,0.9643605870020966,0.9544899402198366,0.9304806424547525,0.9558282208588957,0.9439389312977098,0.917621045470008,0.9710401472774907,0.9642929737787114,0.94251269035533,0.9806965664530968,0.9725711559866432,0.9629827915869981,0.964447755129681,0.9546156817303979,0.9306080797166696,0.18549039338618545,0.16850123398520736
4,71200010303,0.31515375949883667,0.13929437878025616,0.45687496310631837,0.08875739644970414,0.051535221145108355,0.23238760135881104,0.11239147226891391,0.19888932555723476,0.029014970489501347,0.012262075985830623,0.034596519917919226,0.06194572409209494,0.00674399784192069,0.009397337004026639,0.003676470588235294,0.01261872917796672,0.0,0.07017543859649122,0.10302870434497687,0.13242270720835977,0.12477001364723823,0.1239447791668675,0.35064190975574944,0.05681235358329784,0.2425491081508241,0.6728045326088005,0.10225403187109323,0.16599300767338088,0.09767026369290979,0.04926671017509419,0.02924212381394945,0.05391020927146401,0.38132070137952834,0.08247337082183749,0.9507995873097757,0.9388451923663191,0.9054275850359386,0.9654172560113153,0.9579809188713715,0.932019766852509,0.9734670765248341,0.96359375,0.9537481259370314,0.9588151754919862,0.9485119238927813,0.9192736425746135,0.9509848240232484,0.9389923664122136,0.905658237895453,0.9655172413793105,0.9581272443932516,0.9322335025380711,0.9751930343354691,0.9658928287486086,0.9565583173996175,0.9589625516354032,0.9486288142139823,0.9194429437541269,0.23246371692639237,0.00025545905835917625
5,50800030717,0.4001585472244094,0.14247201047600724,0.5406201711411898,0.4497041420118343,0.13722932191489395,0.11476344613371367,0.24632215121466608,0.4478059285182437,0.006961812849160489,0.11310579451988129,0.3881243968501236,0.2617330376453472,0.002697599136768276,0.029777226715021095,0.03529411764705882,0.6883816853648316,0.0,0.07017543859649122,0.09692844604805989,0.002419836028079936,0.10175204017923742,0.0835416637400955,0.2782389071862174,0.03743347795181564,0.19338451117633776,0.628517469345749,0.04904567764866666,0.054869344020468176,0.04821379869750153,0.027672858328222916,0.005290195113228411,0.36281974291435126,0.12305438226107815,0.030834808738016625,0.9161722981686873,0.9054325955734406,0.8884486954553172,0.9501414427157,0.9471547465999053,0.9294221996958947,0.978886911502993,0.9756250000000001,0.9662668665667166,0.9347399743017517,0.9274924471299093,0.9099844180750329,0.9164352599289636,0.905648854961832,0.8887062025172923,0.9502938469163776,0.9473541567856901,0.9296319796954315,0.980285855101035,0.9771028780410239,0.9683365200764817,0.9349224622469018,0.9277069653662934,0.9101986913980431,0.4349270561620071,0.057574586924439154
6,41000030604,0.19187691919611072,0.13255250308229627,0.3341496251953601,0.05304727253846154,0.0,0.4343669487476388,0.04172389541570773,0.26403377956741464,0.1280611688586909,0.004131268547681755,0.02724773895700418,0.09101491116585997,0.05071486377124359,0.0,0.0,0.028011834376363762,0.0,0.17543859649122806,0.14404441240009253,0.09281779656612178,0.18122648337744282,0.2516404404916179,0.28385596715888767,0.119235464803095,0.2719011063445473,0.6222851746815595,0.07385393022601275,0.11092197411808498,0.16357704667173162,0.0807490064924448,0.024909603858414647,0.034826034392989515,0.22365676050931996,0.1613950624314123,0.9259736909981946,0.9153710139625633,0.8855622842266115,0.945190947666195,0.9384938087827323,0.9145337050177396,0.9618184759747613,0.9524218750000001,0.9419790104947525,0.936295394603368,0.9268496496753872,0.9003955411722402,0.9261866322247336,0.9155419847328243,0.8858147182220206,0.9453373929051901,0.9386814824852633,0.9147842639593909,0.9643502546410383,0.9553983145174113,0.9454684512428297,0.9364799891650301,0.9270632161709799,0.9005942733657482,0.22951035348068458,0.03920313553176198
7,51401010601,0.20273315992049007,0.037898518060307446,1.0,0.6923076923076923,0.3642941403433581,0.13017385587834768,0.1695187936167903,0.2902972376319032,0.014107904569957119,0.15722184939566092,0.3901751129460355,0.026251019681591305,0.0018883193957377933,0.0,0.0,0.011565182067490973,0.0,0.10526315789473684,0.04038990369163088,0.010656430228477115,0.04317389454607739,0.0628666362428854,0.2756567505963418,0.013338691900045222,0.28048092120117407,0.68271954677217,0.054842236672397675,0.07995623236756125,0.002598880917348069,0.00040578459053144055,2.791625398624139e-05,0.1771428327474317,0.1846232063122889,0.0037432718705946405,0.9603430487490329,0.9554905188708005,0.9523459165770558,0.9758840169731258,0.9775356925367076,0.9718702483527624,0.986086393787413,0.9845312500000001,0.9830584707646176,0.9689592209373099,0.9667673716012084,0.9626033800791083,0.9604778818211173,0.9556030534351144,0.9524322485542579,0.975925794802804,0.977640761569212,0.9719543147208123,0.9870215212748481,0.9854507870885673,0.9840917782026768,0.969052617322408,0.9668469164413545,0.9626628248994538,0.2481327469939725,0.055344164491380576
8,51401040403,0.6481488215827831,0.19997729968114106,0.5304352783915123,0.57396449704142,0.3778171834867083,0.30846666742982864,0.11563530118436854,0.2529857631005292,0.027652101940162713,0.06139654258360135,0.28276013469535055,0.08297289639793938,0.03560830860534125,0.0,0.0,0.01999876725051282,0.16666666666666666,0.2631578947368421,0.20105232722429472,0.14192790556557197,0.20016686096945116,0.10849110490371397,0.3247980701312934,0.052453641273949254,0.28183562881011515,0.5896285803503657,0.09187269949332143,0.17248376423415798,0.0551901614043748,0.04715930545203312,0.009295182190709142,0.483776646073066,0.16791085139052594,0.031085723174758932,0.9631158111942224,0.9587220291445644,0.9553455204029657,0.9803394625176802,0.9820014885986874,0.9756715661429296,0.9908590842905678,0.9889062500000001,0.9862818590704647,0.9727463312368974,0.9706884360737931,0.9661992089176555,0.963254762673555,0.9588396946564884,0.9554371243905205,0.9803866034128728,0.9820448539873976,0.975761421319797,0.9914572038771152,0.9895849896644935,0.9870745697896749,0.972844856775242,0.9707737865327669,0.9662644816615643,0.6103631735368283,1.0
9,51202050503,0.38417422864710554,0.2686135333792826,0.20348393064483028,0.378698224852071,0.07620124674259618,0.30631567111821034,0.09034455433858618,0.2985254152195138,0.041583857719877895,0.040769238777581776,0.21935373671311892,0.22298876253905928,0.016185594820609658,0.0,0.0,0.012681355082526666,0.0,0.3684210526315789,0.14637409228513198,0.09119089207578637,0.13285890302725578,0.11273022431853956,0.27557919043999163,0.09503605382977977,0.21223752540076765,0.558781869730049,0.09359926585282063,0.11409773270027593,0.09264519968350851,0.0686382014727481,0.015876254603562817,0.03882444058181178,0.5517755581665943,0.06769419934593272,0.943770956925458,0.9306139869520151,0.8968249476484238,0.9613154172560112,0.9582515731781582,0.9338570704510898,0.9737906487623362,0.9719531250000001,0.966191904047976,0.953540271860418,0.945040817638362,0.9162771185424907,0.9439457539554408,0.9307480916030533,0.8970404807801339,0.9614104651986123,0.95839826546514,0.9340736040609138,0.9755216034171185,0.9736842105263157,0.9682600382409178,0.9536805038260987,0.9452169434788207,0.9164415631190348,0.25419498604302826,0.20301247027455152
